Dataset_Name;Author;Last_Update;Usability;File_Count;Data_Type;Size;Upvote;Rank
Skin Cancer MNIST: HAM10000;K Scott Mader;2018;71;10020;CSV, other;6 GB;2025;Gold
120 years of Olympic history: athletes and results;rgriffin;2018;82;2;CSV;6 MB;2306;Gold
Avocado Prices;Justin Kiggins;2018;97;1;CSV;644 KB;3783;Gold
Credit Card Fraud Detection;Machine Learning Group - ULB;2018;85;1;CSV;69 MB;12168;Gold
Mobile Price Classification;Abhishek Sharma;2018;71;2;CSV;72 KB;2288;Gold
Fashion MNIST;Zalando Research;2018;85;6;SV, other;72 MB;2957;Gold
Students Performance in Exams;Jakki Seshapanpu;2018;71;1;CSV;9 KB;4601;Gold
Titanic;Khashayar Baghizadeh;2017;71;1;CSV;11 KB;1590;Gold
Synthetic Financial Datasets For Fraud Detection;Edgar Lopez-Rojas;2017;88;1;CSV;186 MB;1468;Gold
SMS Spam Collection Dataset;UCI Machine Learning;2017;74;1;CSV;216 KB;1637;Gold
The Movies Dataset;Rounak Banik;2017;82;7;CSV;239 MB;3745;Gold
Amazon Fine Food Reviews;Stanford Network Analysis Project;2017;79;3;SQLITE, CSV;254 MB;2330;Gold
Mushroom Classification;UCI Machine Learning;2017;85;1;CSV;35 KB;2494;Gold
World Development Indicators;Kaggle;2017;76;8;CSV, other;387 MB;1654;Gold
IBM HR Analytics Employee Attrition & Performance;pavansubhash;2017;88;1;CSV;51 KB;2667;Gold
Sign Language MNIST;tecperson;2017;76;5;CSV, other;66 MB;1614;Gold
E-Commerce Data;Carrie;2017;71;1;CSV;8 MB;1841;Gold
Sentiment140 dataset with 1.6 million tweets;KazAnova;2017;88;1;CSV;85 MB;2132;Gold
Climate Change: Earth Surface Temperature Data;Berkeley Earth;2017;76;5;CSV;89 MB;2379;Gold
TMDB 5000 Movie Dataset;The Movie Database (TMDb);2017;82;2;CSV;9 MB;4008;Gold
Pokemon with stats;Alberto Barradas;2016;88;1;CSV;15 KB;2633;Gold
Student Alcohol Consumption;UCI Machine Learning;2016;85;3;CSV, other;19 KB;2023;Gold
European Soccer Database;Hugo Mathien;2016;71;1;SQLITE;34 MB;4739;Gold
Video Game Sales;GregorySmith;2016;59;1;CSV;390 KB;6407;Gold
Iris Species;UCI Machine Learning;2016;79;2;SQLITE, CSV;4 KB;4214;Gold
Breast Cancer Wisconsin (Diagnostic) Data Set;UCI Machine Learning;2016;85;1;CSV;50 KB;3790;Gold
House Sales in King County; USA, harlfoxem;2016;60;71;CSV;798 KB;2229;Gold
Pima Indians Diabetes Database;UCI Machine Learning;2016;88;1;CSV;9 KB;4600;Gold
